Principle,UserFeedback
介入詳情及輸出,"應明確定義模型的輸入與輸出規格。
輸入：詳列模型所需的所有資料項目與格式。
輸出：具體說明其內容、格式與單位（如：分類標籤、機率值），並載明是否提供信賴分數、可解釋性分析等輔助決策資訊。"
量化表現指標,應具體說明衡量模型成效的量化指標。
可解釋性分析,應明確說明產品的主要功能、目標疾病/狀態，及其在臨床流程中輔助預期使用者的具體角色。
開發詳情及輸入特徵,"1. 系統輸入資料（如民眾通報、病歷等）若隱含個資，必須說明是否經過徹底之去識別化（De-identification）或資料最小化原則。
2. 若採用雲端大語言模型，必須在委外契約（RFP）中明文要求使用「主權雲（Sovereign Cloud）」以防跨國資料調閱（防範美國 Cloud Act 跨國管轄權與強制調閱風險，保障本國數位管轄權），並於合約中明文禁止供應商進行資料保留（No Data Retention）與二次訓練微調（No Re-training）。
3. 若屬地端部署（邊緣端模型 / AI PC），必須對 SSD 權重硬碟、Log 日誌檔案及快取記憶體（RAM/VRAM）殘留防護進行高強度加密與存取控管，防止 Prompt 殘留與日誌外洩。"
介入詳情及輸出,"1. 在系統自動化分案或決策支援中，不能僅口頭宣稱「有人員過目」，必須在系統介面上設計明確的「確認覆核（Check）」操作，並在後台全面留下「不可篡改的審計軌跡（Audit Trail / Logging）」，詳細記錄誰在何時確認了什麼，作為合規與免責的當責證據。
2. 針對大語言模型文字接龍產生「正經八百的胡說八道（幻覺 Hallucination）」缺陷，建議在後台設計雙模型或多模型代理人（Multi-agent Consensus，如 Gemini 與 GPT 同步對照）。當判定一致時加速放行；不一致時，強制定向至管理人員手動核對與衝突排解（衝突提示機制），以減少人為疲勞與依賴偏誤。"
確保公平性的過程,"1. 演算法通常會產生對特定族群之效能偏差。例如：若以醫學中心的高階影像或特定疾病分布之訓練語料訓練之模型，直接拿去地區或基層醫院使用，可能會產生病患群體分布結構性偏差（偏見）而導致效能大幅下降。
2. 開發階段必須針對不同性別、年齡層、口音或社經群體的效能進行分層評估，並揭露對應的公平性測試數據。"
警告與範圍外使用,"1. 必須明文揭露模型之能力極限與不相容之硬體或影像機型。若系統涉及大語言模型，必須明文列出其可能產生幻覺（Hallucination）而「正經八百胡說八道」之警語，且強調系統不能替代人類最終決策。
2. 面對對外或公眾諮詢服務，必須在核心介面建立「安全護欄（Guardrails）」，限制敏感與無關問題的提問，並建立敏感詞防範問答庫，防範 Prompt Injection（指令注入攻擊）或惡意誘導，阻斷不實輸出、違反我國立場或意識形態偏誤的違法生成內容，並顯著提供透明警語。"
更新與持續驗證計畫,"1. 模型的再訓練觸發頻率或效能衰退閾值必須量化並寫入更新計畫中，防止隨時間產生模型漂移（Model Drift）卻未被察覺而持續使用。
2. 在系統採購或規格設計的前端，就必須將這些風險防範措施（如主權雲、日誌加密、意識形態 Guardrails 等）明文納入採購合約（RFP）中，將潛在法律與合規責任在合約中與廠商合理攤提，避免處內同仁完全承擔監管風險。"
持續維護與監控,"【審查專家真實退件與修正案例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型：運用AI風險預測系統降低透析中低血壓發生率
項目：監測計畫 ⏩ 持續維護與監控
醫院原始說明草稿：
""每周期(365天)評估效益一次(模型品質、臨床效益)，使用""人工智慧醫療器材軟體成效檢核表""。當AI模型品質的AUC低於0.8時，須暫停使用與改進；低血壓發生率大於10%亦須暫停使用與改進。""
專家真實審查意見：
""1. 下述「當AI模型品質的AUC低於0.8時，須暫停使用與改進；低血壓發生率大於10%亦須暫停使用與改進。」皆屬於模型表現，然而臨床效益之監測在這裏沒有做到說明？
2. 需簡述檢核表內容""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
更新與持續驗證計畫,"【審查專家真實退件與修正案例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型：運用AI風險預測系統降低透析中低血壓發生率
項目：版本更新計畫 ⏩ 更新與持續驗證計畫
醫院原始說明草稿：
""當監測結果認為須暫停使用與改進時，則申請單位與發展團隊討論優化改版事宜。""
專家真實審查意見：
""請注意，版本更新之時機可能為常規之流程，另並不一定是是AUC或發生率有問題時。應該要導入軟體再確效時機的概念。當系統或作業環境版本更新或更新時、當軟體需要的工具套件版本更新時、當軟體語法變更時等等皆可能為版本更新的時機""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
外部驗證過程,"【審查專家真實退件與修正案例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型：運用AI風險預測系統降低透析中低血壓發生率
項目：外部驗證過程 ⏩ 外部驗證過程
醫院原始說明草稿：
""高雄醫學大學附設中和醫院。驗證結果AUC 0.905，顯示模型具良好一般性(外推性)。""
專家真實審查意見：
""要說明是使用那一個資料集，是否可以提供AUC以外更多之表現指標？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
持續維護與監控,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：監測計畫 ⏩ 持續維護與監控
醫院原始說明草稿：
""依「負責任AI」監測規範執行AI生命週期監測，確保模型未因時間、設備老化或患者群體改變而產生模型漂移或效能退化：
• 抽樣：監測期間採分層隨機抽樣，抽取880筆資料。
• 黃金標準：以病患配戴之醫療級生理監視器數據為基準。
• 比對方法：採「時間窗聚合比對法」...
• 分類指標監測：以混淆矩陣計算敏感度、特異度、PPV、NPV、準確率（呼吸、心律分別評估）。
• 連續數值監測：以MAE評估心跳、呼吸誤差並分析環境干擾。
• 警報疲勞管理：撈取後台日誌（保留三個月）監測觸發事件，動態調整警報閾值；最佳化後平均每床每日約7.5次警示。""
專家真實審查意見：
""需說明周期時間？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
更新與持續驗證計畫,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：版本更新計畫 ⏩ 更新與持續驗證計畫
醫院原始說明草稿：
""本模型版本更新採雙向機制，由開發團隊與本院負責任AI中心協同維護：
1.開發端驅動：開發團隊若釋出模型更新，即通知機構，由機構依規範進行模型更新與導入驗證。
2.機構端驅動：負責任AI中心定期抽樣監測模型效能，若發現模型有飄移（model drift）跡象，即通知開發團隊啟動校正或再訓練流程；待重新訓練並通過內部／外部驗證後方得恢復使用。""
專家真實審查意見：
""1. 需提供具體之飄移偵測指標及警戒值
2. 本案是否為醫療器材？如為醫療器材，醫療器材之軟體進行進版後需要通過台灣衛福部食藥署的審核，廠商與醫院間如何搭配執行？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
警告與範圍外使用,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：介入的警告範圍外使用 ⏩ 警告與範圍外使用
醫院原始說明草稿：
""• 本系統之數值輸出或紀錄不應作為醫療／照護決策上的單獨判斷依據，專業人員應於需要時使用傳統量測方式複驗。
• 本系統不適用配戴心律調節器的患者。""
專家真實審查意見：
""是否有年齡限制？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
確保公平性的過程,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：確保介入開發公平性的過程 ⏩ 確保公平性的過程
醫院原始說明草稿：
""心率模型訓練樣本來自多個醫療院所：分布於38–119 bpm；兩家不同層級、地區之醫院，男性207位、女性80位，年齡22–74歲。開發過程採用男女樣本平衡、數值均勻涵蓋、交叉驗證等手法確保公平性與可靠性。""
專家真實審查意見：
""請確定對於公平性之定義正確？比如有沒有群組、疾病別、地域之選擇性等？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
